date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:49	21153/21153	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Mar%202022%2011:27:48%20GMT	https://s.cloud.huawei.com/	C:/Users/Ibrahim/Videos/Secret/dk/s.cloud.huawei.com/index.html	(from )
15:27:49	681/681	---M--	200	added ('OK')	text/plain	etag:%2261d6b920-2a9%22	https://s.cloud.huawei.com/robots.txt		(from )
15:27:49	15537/15537	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Mar%202022%2011:27:49%20GMT	https://search-static-dra.dbankcdn.com/pc/v1/share.png	C:/Users/Ibrahim/Videos/Secret/dk/search-static-dra.dbankcdn.com/pc/v1/share.png	(from https://s.cloud.huawei.com/)
15:27:50	88884/88884	---MCZ	200	added ('OK')	text/css	etag:W/%22RMER2fSTuoE2UnJGIFKq0Q==%22	https://search-static-dra.dbankcdn.com/pc/v1/static/css/vendor-lazy.c6a36eab.css	C:/Users/Ibrahim/Videos/Secret/dk/search-static-dra.dbankcdn.com/pc/v1/static/css/vendor-lazy.c6a36eab.css	(from https://s.cloud.huawei.com/)
15:27:50	31085/31085	---MCZ	200	added ('OK')	text/css	etag:W/%22Yb8ttTd0z9vBc+CluaTeAg==%22	https://search-static-dra.dbankcdn.com/pc/v1/static/css/common.d7861928.css	C:/Users/Ibrahim/Videos/Secret/dk/search-static-dra.dbankcdn.com/pc/v1/static/css/common.d7861928.css	(from https://s.cloud.huawei.com/)
15:27:50	10647/10647	---MCZ	200	added ('OK')	text/css	etag:W/%22LW8IBL1jJahzK6VakvkYww==%22	https://search-static-dra.dbankcdn.com/pc/v1/static/css/global/home/home.20f1c2f2.css	C:/Users/Ibrahim/Videos/Secret/dk/search-static-dra.dbankcdn.com/pc/v1/static/css/global/home/home.20f1c2f2.css	(from https://s.cloud.huawei.com/)
15:27:50	162204/162204	---MCZ	200	added ('OK')	application/javascript	etag:W/%22SxoJk4i/nuck1vsYl4tJbg==%22	https://search-static-dra.dbankcdn.com/pc/v1/static/js/vendor.c8ea4fe2.js	C:/Users/Ibrahim/Videos/Secret/dk/search-static-dra.dbankcdn.com/pc/v1/static/js/vendor.c8ea4fe2.js	(from https://s.cloud.huawei.com/)
15:27:51	51623/51623	---MCZ	200	added ('OK')	application/javascript	etag:W/%223+8tnptUBPPcwXzLJjfa6Q==%22	https://search-static-dra.dbankcdn.com/pc/v1/static/js/runtime.663a74b2.js	C:/Users/Ibrahim/Videos/Secret/dk/search-static-dra.dbankcdn.com/pc/v1/static/js/runtime.663a74b2.js	(from https://s.cloud.huawei.com/)
15:27:51	968642/968642	---MCZ	200	added ('OK')	application/javascript	etag:W/%22LYcTQDGBeFAeqK4Nzc+t1A==%22	https://search-static-dra.dbankcdn.com/pc/v1/static/js/chunk/vendor-lazy.979c694c.js	C:/Users/Ibrahim/Videos/Secret/dk/search-static-dra.dbankcdn.com/pc/v1/static/js/chunk/vendor-lazy.979c694c.js	(from https://s.cloud.huawei.com/)
15:27:52	36127/36127	---MCZ	200	added ('OK')	application/javascript	etag:W/%22TL35nvowOOjV0JX5OKwJeQ==%22	https://search-static-dra.dbankcdn.com/pc/v1/static/js/chunk/common.05cc99d2.js	C:/Users/Ibrahim/Videos/Secret/dk/search-static-dra.dbankcdn.com/pc/v1/static/js/chunk/common.05cc99d2.js	(from https://s.cloud.huawei.com/)
15:27:52	27241/27241	---MCZ	200	added ('OK')	application/javascript	etag:W/%22vWlAmdfwsZ5jTM8+P8hpkQ==%22	https://search-static-dra.dbankcdn.com/pc/v1/static/js/chunk/global/home/home.a397da6e.js	C:/Users/Ibrahim/Videos/Secret/dk/search-static-dra.dbankcdn.com/pc/v1/static/js/chunk/global/home/home.a397da6e.js	(from https://s.cloud.huawei.com/)
